Quotes,Speaker
Create unselfishness as the most important team attribute,Bill Russell
Concentration and mental toughness are the margins of victory,Bill Russell
The most important thing to me is the friends that I’ve made,Bill Russell
The most important measure of how good a game I played was how much better I’d made my teammates play,Bill Russell
"Remember that basketball is a game of habits. If you make the other guy deviate from his habits, you’ve got him",Bill Russell
Commitment separates those who live their dreams from those who live their lives regretting the opportunities they have squandered,Bill Russell
"What distinguishes a great player is his presence. When he goes on to the court, his presence dominates the atmosphere",Bill Russell
The only important statistic is the final score,Bill Russell
The idea is not to block every shot. The idea is to make your opponent believe that you might block every shot,Bill Russell
The single most important aspect of coaching is running effective practices,Bob Knight
The key is not the ‘will to win’… everybody has that. It is the will to prepare to win that is important,Bob Knight
You don’t play against opponents; you play against the game of basketball,Bob Knight
"The goal is to make practice more difficult, physically/mentally, than anything your players will face during a game",Bob Knight
"Basketball is a full court game, so every drill must be done full court",Bob Knight
I always designed my practice plans the night before and then made tweaks a few hours before practice began,Bob Knight
I hate casual shooting. Every shot is preceded by working to get open and catch and shoot under game like conditions,Bob Knight
What is the best thing you can do in a close game? Drive to the basket and put pressure on the defense! Not jack up jump shots,Bob Knight
Passing is your best weapon against man to man. Dribble penetration is your best weapon against zone,Bob Knight
"Players must be able to carry out simple instructions from the bench to the court. If they can’t, then they can’t play",Bob Knight
"Discipline is doing what has to be done, when it has to be done, as well as it can be done, and doing it that way all the time",Bob Knight
"I just love the game of basketball so much. The game! I don’t need the 18,000 people screaming and all the peripheral things. To me, the most enjoyable part is the practice and preparation",Bob Knight
Mental is to the physical as four is to one,Bob Knight
Offense is not equal opportunity,Bob Knight
Perform drills that force your players to think,Bob Knight
"I sit and wonder why no one uses the shot fake. The shot fake, when used correctly, can eliminate a defender",Bob Knight
"Coaches shouldn’t have to push you to work hard, you should push yourself to work hard because you want to be a great player",Bob Knight
A quick way for any player to make himself better is to think about what he himself doesn’t like to play against,Bob Knight
Good basketball always starts with good defense!,Bob Knight
My practices were not set up to be easy or enjoyed,Bob Knight
"In order to achieve to achieve positive results, one must work for them, not hope for them",Bob Knight
"Defense is all about helping. No one can guard a good dribbler, You have to walk kids through how to help and then how to help the helper",Bob Knight
"The key is to maintain an evenness. Try to play one possession at a time, regardless of what happened on the last possession",Brad Stevens
"You have a choice to make when you’re not playing. Either you’re invested and a great teammate, or your not",Brad Stevens
The game honors toughness,Brad Stevens
"We’re building a culture of accountability, trust, and togetherness. Entitlement will not be tolerated",Brad Stevens
The difference between a good defensive team and a bad defensive team is as little as three possessions,Brad Stevens
You have to earn your right to win the game with effort and togetherness,Brad Stevens
How good can we expect to be if our best player is not our best teammate,Brad Stevens
My goal is to win the next game one possession at a time. That’s it. I don’t have any other goals,Brad Stevens
You should always sub a player out when you see them not going full speed or they’re playing selfish basketball,Dean Smith
"What do you do with a mistake: recognize it, admit it, learn from it, forget it",Dean Smith
"I always mean what I say, but I don’t always say what I’m thinking",Dean Smith
"I would never recruit a player who yells at his teammates, disrespected his high school coach, or scores 33 points a game and his team goes 10-10",Dean Smith
"One player’s selfish attitude can poison a locker room and make it hard, if not impossible, to establish team work",Dean Smith
"There is a lot of basketball beyond our control, but a player should never let anyone try harder than he does",Dean Smith
Basketball is a beautiful game when the five players on the court play with one heartbeat,Dean Smith
"If you make every game a life and death proposition, you’re going to have problems. For one thing, you’ll be dead a lot",Dean Smith
Basketball is a team game. But that doesn’t mean all five players should take the same amount of shots,Dean Smith
"One player’s selfish attitude can poison the locker room and make it hard, if not impossible, to establish teamwork",Dean Smith
Over coaching is the worst thing you can do to a player,Dean Smith
Only praise behavior that you want to be repeated. Never use false praise,Dean Smith
Praise behaviour that you want repeated,Dean Smith
